Threshold,Nombre de clients
0.0,100.0
0.01,100.0
0.02,100.0
0.03,100.0
0.04,100.0
0.05,99.9
0.06,99.9
0.07,99.9
0.08,99.8
0.09,99.7
0.1,99.6
0.11,99.4
0.12,99.2
0.13,99.0
0.14,98.8
0.15,98.5
0.16,98.1
0.17,97.8
0.18,97.5
0.19,97.1
0.2,96.8
0.21,96.3
0.22,95.8
0.23,95.4
0.24,94.8
0.25,94.2
0.26,93.6
0.27,93.0
0.28,92.4
0.29,91.6
0.3,90.9
0.31,90.2
0.32,89.4
0.33,88.6
0.34,87.8
0.35,86.9
0.36,86.0
0.37,85.1
0.38,84.1
0.39,83.1
0.4,82.0
0.41,80.9
0.42,79.9
0.43,78.8
0.44,77.6
0.45,76.4
0.46,75.1
0.47,74.0
0.48,72.7
0.49,71.4
0.5,70.1
0.51,68.8
0.52,67.3
0.53,65.8
0.54,64.4
0.55,62.9
0.56,61.3
0.57,59.7
0.58,58.1
0.59,56.5
0.6,54.9
0.61,53.2
0.62,51.5
0.63,49.8
0.64,48.0
0.65,46.2
0.66,44.4
0.67,42.6
0.68,40.7
0.69,38.9
0.7,36.9
0.71,35.0
0.72,33.2
0.73,31.4
0.74,29.4
0.75,27.5
0.76,25.6
0.77,23.7
0.78,21.8
0.79,20.0
0.8,18.2
0.81,16.3
0.82,14.6
0.83,12.9
0.84,11.5
0.85,9.8
0.86,8.3
0.87,7.0
0.88,5.8
0.89,4.6
0.9,3.6
0.91,2.7
0.92,2.0
0.93,1.4
0.94,0.9
0.95,0.5
0.96,0.3
0.97,0.1
0.98,0.0
0.99,0.0
